[2016-08-21 12:51:38.2974] | TRACE | Someone just opened our page
[2016-08-21 13:31:37.2601] | TRACE | Someone just opened our page
[2016-08-21 13:31:57.9415] | DEBUG | Editing employee: Id: 1; Name: John Johnson; Age: 44; TaxPercent: 0
[2016-08-21 13:32:21.0393] | DEBUG | Editing employee: Id: 1; Name: John Johnson; Age: 44; TaxPercent: 0
[2016-08-21 13:32:31.5351] | DEBUG | Editing employee: Id: 1; Name: John Johnson; Age: 44; TaxPercent: 0
[2016-08-21 13:35:11.3098] | TRACE | Someone just opened our page
[2016-08-21 13:35:24.0267] | DEBUG | Editing employee: Id: 1; Name: John Johnson; Age: 44; TaxPercent: 12.43
[2016-08-21 13:35:32.3760] | DEBUG | Editing employee: Id: 2; Name: Andrew Watson; Age: 23; TaxPercent: 7.89
[2016-08-21 13:35:42.9605] | DEBUG | Editing employee: Id: 3; Name: Matt Plank; Age: 34; TaxPercent: 19.65
[2016-08-21 13:57:06.6751] | TRACE | Someone just opened our page
[2016-08-21 13:57:16.1214] | TRACE | Someone just opened our page
[2016-08-21 15:19:15.8964] | TRACE | Someone just opened our page
[2016-08-21 15:21:11.8528] | TRACE | Someone just opened our page
[2016-08-21 15:24:26.2316] | TRACE | Someone just opened our page
[2016-08-21 15:25:53.9125] | TRACE | Someone just opened our page
[2016-08-21 15:26:10.5741] | DEBUG | Editing employee: Id: 1; Name: John Johnson; Age: 44; TaxPercent: 12.43
[2016-08-21 15:46:02.1248] | TRACE | Someone just opened our Angular page
[2016-08-21 15:46:18.6086] | TRACE | Someone just opened our page
[2016-08-21 15:46:31.7484] | TRACE | Someone just opened our page
[2016-08-21 15:46:39.5737] | TRACE | Someone just opened our Angular page
[2016-08-21 15:46:47.5448] | TRACE | Someone just opened our Angular page
[2016-08-21 15:46:51.5432] | TRACE | Someone just opened our Angular page
[2016-08-21 15:46:53.6793] | TRACE | Someone just opened our Angular page
[2016-08-21 15:46:56.4605] | TRACE | Someone just opened our Angular page
[2016-08-21 15:47:00.6946] | TRACE | Someone just opened our page
[2016-08-21 15:47:06.0629] | TRACE | Someone just opened our page
[2016-08-21 15:47:13.1798] | TRACE | Someone just opened our Angular page
[2016-08-21 15:47:15.9371] | TRACE | Someone just opened our Angular page
[2016-08-21 15:47:17.9722] | TRACE | Someone just opened our Angular page
[2016-08-21 15:47:29.6120] | TRACE | Someone just opened our Angular page
[2016-08-21 15:47:38.3520] | TRACE | Someone just opened our page
[2016-08-21 15:49:02.9269] | TRACE | Someone just opened our Angular page
[2016-08-21 15:49:15.1427] | TRACE | Someone just opened our page
[2016-08-21 15:49:23.1790] | TRACE | Someone just opened our Angular page
[2016-08-21 16:03:20.4304] | TRACE | Someone just opened our Angular page
[2016-08-21 16:03:42.0606] | TRACE | Someone just opened our Angular page
[2016-08-21 16:03:52.2581] | TRACE | Someone just opened our Angular page
[2016-08-21 16:03:54.1325] | TRACE | Someone just opened our Angular page
[2016-08-21 16:03:56.3073] | TRACE | Someone just opened our Angular page
[2016-08-21 16:03:58.1003] | TRACE | Someone just opened our Angular page
[2016-08-21 16:04:01.5259] | TRACE | Someone just opened our Angular page
[2016-08-21 16:04:06.1750] | TRACE | Someone just opened our Angular page
[2016-08-21 16:04:18.4293] | TRACE | Someone just opened our Angular page
[2016-08-21 16:05:20.6894] | TRACE | Someone just opened our page
[2016-08-21 16:05:25.0017] | TRACE | Someone just opened our Angular page
[2016-08-21 16:05:49.1849] | TRACE | Someone just opened our Angular page
[2016-08-21 16:06:16.1724] | TRACE | Someone just opened our Angular page
[2016-08-21 16:06:23.9862] | TRACE | Someone just opened our Angular page
[2016-08-21 16:07:37.2648] | TRACE | Someone just opened our Angular page
[2016-08-21 16:47:17.1693] | TRACE | Someone just opened our page
[2016-08-21 16:47:21.1310] | TRACE | Someone just opened our Angular page
[2016-08-21 16:55:02.4731] | TRACE | Someone just opened our page
[2016-08-21 16:55:05.5371] | TRACE | Someone just opened our Angular page
[2016-08-21 16:55:30.2905] | TRACE | Someone just opened our Angular page
[2016-08-21 16:56:21.6740] | TRACE | Someone just opened our Angular page
[2016-08-21 16:58:34.2302] | TRACE | Someone just opened our page
[2016-08-21 16:58:38.2248] | TRACE | Someone just opened our Angular page
[2016-08-21 17:00:16.5379] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:35.0553] | TRACE | Someone just opened our page
[2016-08-21 17:03:38.6656] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:40.9257] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:41.7784] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:42.3147] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:42.8899] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:44.7472] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:46.4408] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:46.9808] | TRACE | Someone just opened our Angular page
[2016-08-21 17:03:51.1942] | TRACE | Someone just opened our Angular page
[2016-08-21 17:04:00.1850] | TRACE | Someone just opened our Angular page
[2016-08-21 17:07:00.5355] | TRACE | Someone just opened our page
[2016-08-21 17:07:04.3722] | TRACE | Someone just opened our page
[2016-08-21 17:07:08.7316] | TRACE | Someone just opened our Angular page
[2016-08-21 17:08:10.1253] | TRACE | Someone just opened our Angular page
[2016-08-21 17:08:38.1932] | TRACE | Someone just opened our Angular page
[2016-08-21 17:10:09.5121] | TRACE | Someone just opened our page
[2016-08-21 17:10:21.0755] | TRACE | Someone just opened our Angular page
[2016-08-21 17:10:27.1286] | TRACE | Someone just opened our Angular page
[2016-08-21 17:10:28.1721] | TRACE | Someone just opened our Angular page
[2016-08-21 17:10:29.1154] | TRACE | Someone just opened our Angular page
[2016-08-21 17:10:29.9168] | TRACE | Someone just opened our Angular page
[2016-08-21 17:10:32.5662] | TRACE | Someone just opened our Angular page
[2016-08-21 17:13:40.7858] | TRACE | Someone just opened our page
[2016-08-21 17:13:42.7712] | TRACE | Someone just opened our Angular page
[2016-08-21 17:13:45.3192] | TRACE | Someone just opened our Angular page
[2016-08-21 17:13:57.0577] | TRACE | Someone just opened our Angular page
[2016-08-21 17:15:18.1134] | TRACE | Someone just opened our Angular page
[2016-08-21 17:15:18.9240] | TRACE | Someone just opened our Angular page
[2016-08-21 17:15:19.3081] | TRACE | Someone just opened our Angular page
[2016-08-21 17:17:00.5667] | TRACE | Someone just opened our Angular page
[2016-08-21 17:20:09.4868] | TRACE | Someone just opened our page
[2016-08-21 17:20:12.2563] | TRACE | Someone just opened our Angular page
[2016-08-21 17:20:14.3224] | TRACE | Someone just opened our Angular page
[2016-08-21 17:20:14.8532] | TRACE | Someone just opened our Angular page
[2016-08-21 17:20:16.9629] | TRACE | Someone just opened our Angular page
[2016-08-21 17:20:18.8205] | TRACE | Someone just opened our Angular page
[2016-08-21 17:20:27.8453] | TRACE | Someone just opened our Angular page
[2016-08-21 17:22:59.8356] | TRACE | Someone just opened our page
[2016-08-21 17:23:04.5838] | TRACE | Someone just opened our Angular page
[2016-08-21 17:24:36.1082] | TRACE | Someone just opened our page
[2016-08-21 17:24:38.9959] | TRACE | Someone just opened our Angular page
[2016-08-21 17:24:42.6382] | TRACE | Someone just opened our Angular page
[2016-08-21 17:27:18.0552] | TRACE | Someone just opened our page
[2016-08-21 17:27:20.5716] | TRACE | Someone just opened our Angular page
[2016-08-21 17:28:47.1711] | TRACE | Someone just opened our Angular page
[2016-08-21 17:29:38.7146] | TRACE | Someone just opened our Angular page
[2016-08-21 17:29:40.2113] | TRACE | Someone just opened our Angular page
[2016-08-21 17:29:41.2798] | TRACE | Someone just opened our Angular page
[2016-08-21 17:29:43.9543] | TRACE | Someone just opened our Angular page
[2016-08-21 17:29:46.0283] | TRACE | Someone just opened our Angular page
[2016-08-21 17:29:47.4941] | TRACE | Someone just opened our Angular page
[2016-08-21 17:29:49.9296] | TRACE | Someone just opened our Angular page
[2016-08-21 17:29:51.8959] | TRACE | Someone just opened our Angular page
[2016-08-21 17:30:04.7278] | TRACE | Someone just opened our Angular page
[2016-08-21 17:30:09.3974] | TRACE | Someone just opened our Angular page
[2016-08-21 17:30:45.7146] | DEBUG | Creating new employee: Id: 0; Name: test; Age: 24; TaxPercent: 4
[2016-08-21 17:30:50.6533] | TRACE | Someone just opened our Angular page
[2016-08-21 17:31:02.3033] | TRACE | Someone just opened our Angular page
[2016-08-21 17:41:58.8232] | TRACE | Someone just opened our Angular page
[2016-08-21 17:43:15.1954] | DEBUG | Deleting employee (via API) with ID: 4
[2016-08-21 17:44:02.8874] | TRACE | Someone just opened our Angular page
[2016-08-21 18:09:03.8345] | TRACE | Someone just opened our page
[2016-08-21 18:09:08.2144] | TRACE | Someone just opened our Angular page
[2016-08-21 18:11:17.6343] | TRACE | Someone just opened our page
[2016-08-21 18:11:23.4910] | TRACE | Someone just opened our Angular page
[2016-08-21 18:13:01.8064] | TRACE | Someone just opened our Angular page
[2016-08-21 18:15:17.6164] | TRACE | Someone just opened our page
[2016-08-21 18:17:33.9199] | TRACE | Someone just opened our page
[2016-08-21 18:17:39.3930] | TRACE | Someone just opened our Angular page
[2016-08-21 18:17:54.0171] | DEBUG | Creating new employee (via API): Id: 0; Name: test; Age: 32; TaxPercent: 11.76
[2016-08-21 18:18:23.0144] | DEBUG | Deleting employee (via API) with ID: 5
[2016-08-21 18:18:30.4584] | TRACE | Someone just opened our Angular page
[2016-08-21 18:18:31.9030] | TRACE | Someone just opened our Angular page
[2016-08-21 18:18:32.4843] | TRACE | Someone just opened our Angular page
[2016-08-21 18:29:05.5539] | TRACE | Someone just opened our page
[2016-08-21 18:29:09.9895] | TRACE | Someone just opened our Angular page
[2016-08-21 18:29:44.8874] | DEBUG | Creating new employee (via API): Id: 0; Name: test; Age: 35; TaxPercent: 8.66
[2016-08-21 18:29:56.4669] | DEBUG | Editing employee (via API): Id: 6; Name: test1; Age: 36; TaxPercent: 7.74
[2016-08-21 18:29:59.0002] | TRACE | Someone just opened our Angular page
[2016-08-21 18:30:00.2867] | TRACE | Someone just opened our Angular page
[2016-08-21 18:30:05.9221] | DEBUG | Deleting employee (via API) with ID: 6
[2016-08-21 18:30:11.4970] | TRACE | Someone just opened our Angular page
[2016-08-21 18:30:58.2159] | TRACE | Someone just opened our Angular page
[2016-08-21 18:31:19.8659] | TRACE | Someone just opened our page
[2016-08-21 18:32:09.1265] | TRACE | Someone just opened our Angular page
